"Date","Price","Open","High","Low","Vol.","Change %"
"May 16, 2017","9,522.15","9,462.20","9,532.50","9,458.00","8.05M","0.73%"
"May 15, 2017","9,453.30","9,448.00","9,458.00","9,437.00","3.96M","0.41%"
"May 12, 2017","9,414.80","9,428.25","9,443.10","9,389.05","6.88M","-0.27%"
"May 11, 2017","9,439.85","9,431.60","9,464.00","9,431.60","5.36M","0.22%"
"May 10, 2017","9,419.20","9,359.35","9,424.50","9,357.95","8.36M","0.74%"
"May 09, 2017","9,350.40","9,350.25","9,372.65","9,331.95","5.31M","0.07%"
"May 08, 2017","9,343.60","9,336.10","9,363.45","9,322.15","5.70M","0.29%"
"May 05, 2017","9,316.70","9,359.80","9,359.80","9,297.00","9.23M","-0.64%"
"May 04, 2017","9,376.95","9,358.25","9,384.00","9,332.80","6.78M","0.39%"
"May 03, 2017","9,340.25","9,342.05","9,366.00","9,315.10","5.23M","0.01%"
"May 02, 2017","9,339.30","9,337.00","9,372.00","9,281.00","8.55M","-0.24%"
"May 01, 2017","9,361.75","9,348.75","9,361.75","9,333.75","-","0.30%"
"Apr 28, 2017","9,333.70","9,353.15","9,358.70","9,313.00","7.36M","-0.09%"
"Apr 27, 2017","9,342.15","9,344.70","9,366.00","9,325.00","13.10M","0.00%"
"Apr 26, 2017","9,342.10","9,308.25","9,357.45","9,297.60","13.35M","0.52%"
"Apr 25, 2017","9,293.90","9,264.80","9,297.95","9,244.15","13.00M","0.75%"
"Apr 24, 2017","9,224.45","9,140.15","9,234.50","9,129.80","12.88M","1.07%"
"Apr 21, 2017","9,127.00","9,207.55","9,207.55","9,090.50","9.99M","-0.39%"
"Apr 20, 2017","9,162.60","9,125.55","9,170.00","9,120.60","6.43M","0.30%"
"Apr 19, 2017","9,135.00","9,119.95","9,147.00","9,096.55","7.20M","0.13%"
"Apr 18, 2017","9,123.35","9,171.35","9,246.65","9,115.20","12.58M","-0.49%"
"Apr 17, 2017","9,168.35","9,172.25","9,182.40","9,142.25","5.06M","-0.15%"
"Apr 13, 2017","9,182.25","9,205.75","9,222.00","9,177.50","6.62M","-0.44%"
"Apr 12, 2017","9,223.20","9,251.90","9,262.00","9,170.10","11.23M","-0.45%"
"Apr 11, 2017","9,264.45","9,194.85","9,269.95","9,187.55","7.92M","0.60%"
"Apr 10, 2017","9,209.35","9,225.60","9,248.30","9,194.00","6.73M","-0.02%"
